Publication Year,Document Title,ISSN,Journal Title,Volume,Issue,<1999,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Subtotal,>2024,Total
2014,Government bailouts and default risks of a duopoly: strong bank versus weak bank,14664283,Applied Economics,46,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2014,"Empirical research on monetary policy, asset prices and inflation: an analysis based on provincial panel data in China",14664283,Applied Economics,46,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,3,0,3
2014,Determinants of firms’ investment behaviour: a multilevel approach,14664283,Applied Economics,46,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,3,1,2,2,13,0,13
2014,Religious service attendance and labour force status: evidence from survey data using count data methods,14664283,Applied Economics,46,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Does computer-based training impact maintenance costs and actions? An empirical analysis of the US Navy’s AN/SQQ-89(v) sonar system,14664283,Applied Economics,46,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2014,Ethnic externalities in education and second-generation immigrants,14664283,Applied Economics,46,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2014,Exchange rate pass-through into German import prices – a disaggregated perspective,14664283,Applied Economics,46,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,6,0,6
2014,A generalized double-hurdle model of Swedish gambling expenditures,14664283,Applied Economics,46,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,2,1,2,1,14,0,14
2014,The preoccupation of the United Nations with Israel: Evidence and theory,15597431,Review of International Organizations,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,2,4,1,2,1,15,0,15
2014,Measuring trade costs from relative prices: The role of location and goods characteristics,2175908,Singapore Economic Review,59,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,System dynamics approach as a risk management tool in analyzing pension expenditure: The case of malaysian employees public pension plan,2175908,Singapore Economic Review,59,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3,0,3
2014,Efficiency and productivity of singapore's manufacturing sector 2001-2010: An analysis using bootstrapped truncated approach,2175908,Singapore Economic Review,59,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,4,0,4
2014,Windows os versus mac os: Could one-way compatibility be an equilibrium outcome?,2175908,Singapore Economic Review,59,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Determinants of labor-intensive exports by the developing countries: A cross country analysis,2175908,Singapore Economic Review,59,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,6,0,6
2014,Import protection and female labor,2175908,Singapore Economic Review,59,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2
2014,Testing for linear and non-linear granger non-causality hypothesis between stock and bond: The cases of malaysia and singapore,2175908,Singapore Economic Review,59,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
2014,Entry and quality signaling when the incumbent is informed of the entrant's quality,2175908,Singapore Economic Review,59,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Balancing the current account: experimental evidence on underconsumption,13864157,Experimental Economics,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,2
2014,"Reference-dependence and marginal utility: Alt, Samuelson, and Bernardelli",15271919,History of Political Economy,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,5,0,5
2014,"Blanco white, Spanish America, and economic affairs: The slave trade and colonial trade",15271919,History of Political Economy,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,2
2014,Truly handmaidens to policy? Evaluating agricultural economists’ claim to a distinct tradition of applied economics,15271919,History of Political Economy,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3,0,3
2014,“Self-interest ennobled”: The family in German political economy,15271919,History of Political Economy,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
2014,Cantillon on profit and interest: New insights from other versions of his writings,15271919,History of Political Economy,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,2
2014,Obsolescence and productivity,16179838,Portuguese Economic Journal,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2
2014,Heterogeneous consumption in OLG model with horizontal innovations,16179838,Portuguese Economic Journal,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2
2014,The performance of deterministic and stochastic interest rate risk measures: Another Question of Dimensions?,16179838,Portuguese Economic Journal,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2
2014,The causal effect of coalition governments on fiscal policies: evidence from a Regression Kink Design,14664283,Applied Economics,46,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,2,0,2,1,11,0,11
2014,Does unconventional monetary policy affect inequality? Evidence from Japan,14664283,Applied Economics,46,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,6,9,10,15,13,6,68,0,68
2014,Asset pricing with time-varying betas for stocks traded on S&P 500,14664283,Applied Economics,46,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,4,0,4
2014,Time-varying linkages between tourism receipts and economic growth in South Africa,14664283,Applied Economics,46,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,7,6,10,7,4,45,0,45
2014,"The causal dynamics between renewable energy, real GDP, emissions and oil prices: evidence from OECD countries",14664283,Applied Economics,46,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,8,11,25,17,24,18,114,0,114
2014,Direct and indirect effect of depression in adolescence on adult wages,14664283,Applied Economics,46,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,3,2,2,1,1,13,0,13
2014,Demand in New Zealand hospitals: expect the unexpected?,14664283,Applied Economics,46,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,The identifiable victim effect in charitable giving: evidence from a natural field experiment,14664283,Applied Economics,46,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,1,5,3,1,6,29,0,29
2014,Robust determinants of health care expenditure growth,14664283,Applied Economics,46,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,6,6,4,7,6,4,6,46,0,46
2014,Intragenerational mobility and the ratio of permanent to total inequality,14664283,Applied Economics,46,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,2
2014,Can you spare some change for charity? Experimental evidence on verbal cues and loose change effects in a Dictator Game,13864157,Experimental Economics,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,2,1,1,13,0,13
2014,Evaluating the Office of Fair Trading’s ‘fee-paying schools’ intervention,15729990,European Journal of Law and Economics,40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,2
2014,The future of new institutional economics: From early intuitions to a new paradigm?,17441382,Journal of Institutional Economics,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,6,7,7,6,6,5,4,50,0,50
2014,Embedding organizational arrangements: Towards a general model,17441382,Journal of Institutional Economics,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,6,9,4,8,8,5,12,60,0,60
2014,On fuzzy frontiers and fragmented foundations: Some reflections on the original and new institutional economics,17441382,Journal of Institutional Economics,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,7,2,3,6,4,4,1,31,0,31
2014,The future of evolutionary economics is in a vision from the past,17441382,Journal of Institutional Economics,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,2,1,3,0,1,0,16,0,16
2014,Introduction to the special issue on the future of institutional and evolutionary economics,17441382,Journal of Institutional Economics,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,3,5,6,5,5,4,4,4,45,0,45
2014,The future of evolutionary economics: Can we break out of the beachhead?,17441382,Journal of Institutional Economics,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,6,3,2,3,4,5,4,38,0,38
2014,The future of evolutionary economics: Why the modalities of explanation matter,17441382,Journal of Institutional Economics,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,4,7,2,1,3,1,6,1,32,0,32
2014,"Calculating variable annuity liability ""Greeks"" using Monte Carlo simulation",17831350,ASTIN Bulletin,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,1,0,2,2,0,11,0,11
2014,Valuing equity-linked death benefits in a regime-switching framework,17831350,ASTIN Bulletin,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,6,3,3,3,10,4,35,0,35
2014,Composite Bernstein copulas,17831350,ASTIN Bulletin,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,5,0,5
2014,Optimal investment for a defined-contribution pension scheme under a regime switching model,17831350,ASTIN Bulletin,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,2,3,3,2,18,0,18
2014,Recursive calculation of ruin probabilities at or before claim instants for non-identically distributed claims,17831350,ASTIN Bulletin,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,1,1,1,11,0,11
2014,Credibility claims reserving with stochastic diagonal effects,17831350,ASTIN Bulletin,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,0,1,1,8,0,8
2014,A quantitative study of chain ladder based pricing approaches for long-tail quota shares,17831350,ASTIN Bulletin,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,3
2014,The effects of family policy on maternal labor supply: Combining evidence from a structural model and a quasi-experimental approach,9275371,Labour Economics,36,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,12,10,4,6,6,14,11,73,0,73
2014,A practical organizational efficiency measure,14768267,Defence and Peace Economics,27,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,3,0,3
2014,Model risk of the implied GARCH-normal model,14697696,Quantitative Finance,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,3,0,3
2014,Detecting volatility persistence in GARCH models in the presence of the leverage effect,14697696,Quantitative Finance,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,1,7,0,7
2014,Linear predictability vs. bull and bear market models in strategic asset allocation decisions: evidence from UK data,14697696,Quantitative Finance,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,2
2014,"A long-memory integer-valued time series model, INARFIMA, for financial application",14697696,Quantitative Finance,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,1,0,0,1,9,0,9
2014,Clustering financial time series with variance ratio statistics,14697696,Quantitative Finance,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,3,1,3,1,3,1,4,20,0,20
2014,Quantile regression estimates and the analysis of structural breaks,14697696,Quantitative Finance,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2014,Revisiting the intertemporal risk–return relation: asymmetrical effect of unexpected volatility shocks,14697696,Quantitative Finance,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
2014,Alternative modeling for long term risk,14697696,Quantitative Finance,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Exchange rate volatility, macroeconomic announcements and the choice of intraday periodicity filtering method",14697696,Quantitative Finance,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,4,0,4
2014,A continuous time Bayesian network classifier for intraday FX prediction,14697696,Quantitative Finance,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,4,0,4
2014,Power-law behaviour in time durations between extreme returns,14697696,Quantitative Finance,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,3,0,3
2014,Assessing dependence between financial market indexes using conditional time-varying copulas: applications to Value at Risk (VaR),14697696,Quantitative Finance,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,4,3,1,5,5,4,1,31,0,31
2014,Identifying and forecasting house prices: a macroeconomic perspective,14697696,Quantitative Finance,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,2,5,13,0,13
2014,"High-involvement work processes, work intensification and employee well-being",14698722,"Work, Employment and Society",28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,12,17,22,35,36,48,35,38,260,0,260
2014,Do investors avoid strong trade unions and labour regulation? Social dumping in the European automotive and chemical industries,14698722,"Work, Employment and Society",28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,1,3,0,9,0,9
2014,Response to protecting research participants: in defence of Citizens Advice,14698722,"Work, Employment and Society",28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2
2014,The birth of French labour sociology after the War: some reflections on the nature of the corporate state and intellectual engagement for the sociology of work in the UK today,14698722,"Work, Employment and Society",28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,3,0,3
2014,Unemployment and attitudes to work: asking the ‘right’ question,14698722,"Work, Employment and Society",28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,3,2,1,2,0,2,18,0,18
2014,An exploration of the professional habitus in the Big 4 accounting firms,14698722,"Work, Employment and Society",28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,5,15,18,15,15,15,16,20,130,0,130
2014,"A query on research methodology and ethics: defending Citizens Advice, its work and goals",14698722,"Work, Employment and Society",28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
2014,"Gender, sexuality and male-dominated work: the intersection of long-hours working and domestic life",14698722,"Work, Employment and Society",28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,3,2,5,3,21,0,21
2014,Do options for job flexibility diminish in times of economic uncertainty?,14698722,"Work, Employment and Society",28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,1,3,3,0,4,2,21,0,21
2014,"Mobility strategies, ‘mobility differentials’ and ‘transnational exit’: the experiences of precarious migrants in London’s hospitality jobs",14698722,"Work, Employment and Society",28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,9,11,25,21,12,19,25,15,148,0,148
2014,Did the AFL equalization policy achieve the evenness of the league?,14664283,Applied Economics,46,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,5,0,5
2014,Livestock emissions regulation with unknown damages and strategic technology adoption,14664283,Applied Economics,46,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2
2014,Broadband penetration and economic growth nexus: evidence from cross-country panel data,14664283,Applied Economics,46,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,6,6,6,6,4,34,0,34
2014,Portfolio effects in conglomerate mergers: the empirical evidence of leverage effects in Korean liquor market,14664283,Applied Economics,46,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Crowding-out effects of affordable and unaffordable housing in China, 1999–2010",14664283,Applied Economics,46,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,1,0,1,7,0,7
2014,On the relevance of exports for regional output growth in China,14664283,Applied Economics,46,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,2
2014,Childcare quality and pricing: evidence from Wisconsin,14664283,Applied Economics,46,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,4,0,4
2014,Do economies stall?,14664283,Applied Economics,46,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
2014,Modelling the causes and manifestation of bank stress: an example from the financial crisis,14664283,Applied Economics,46,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
2014,More is better: evidence that joint patenting leads to quality innovation,14664283,Applied Economics,46,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,5,2,4,7,2,24,0,24
2014,"Precarious work, protest masculinity and communal regulation: South Asian young men in Luton, UK",14698722,"Work, Employment and Society",28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,10,3,4,1,6,2,42,0,42
2014,Intergenerational mobility and institutional change in 20th century China,10902457,Explorations in Economic History,58,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,2,4,5,3,4,26,0,26
2014,The export-led growth hypothesis for India: examining causality by a new approach in the time–frequency domain,14664291,Applied Economics Letters,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,1,2,1,11,0,11
2014,Revisiting purchasing power parity in 34 OECD countries: sequential panel selection method,14664291,Applied Economics Letters,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2014,The impact of monetary policy on banking and finance stock prices in China,14664291,Applied Economics Letters,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,3,0,3
2014,"Educational intentions, cognitive skills and earnings expectations of French undergraduates",14664291,Applied Economics Letters,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3,0,3
2014,Overnight gold returns,14664291,Applied Economics Letters,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,2
2014,Does a simple information intervention change the perception of a reform?,14664291,Applied Economics Letters,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,3,0,3
2014,Wavelet spectrum analysis of business cycles of China and G7 countries,14664291,Applied Economics Letters,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,1,3,1,4,0,17,0,17
2014,In which exchange rate models do forecasters trust?,14664291,Applied Economics Letters,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2014,The relationship between commuting time and workers’ utility,14664291,Applied Economics Letters,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,3,1,9,0,9
2014,"Momentum, sovereign credit ratings and global equity markets",14664291,Applied Economics Letters,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2014,A random matrix theory approach to test for agricultural productivity convergence,14664291,Applied Economics Letters,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2014,Federal Reserve independence: the Fed Funds Rate under different regimes,14664291,Applied Economics Letters,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,5,0,5
2014,Effects of college education on demonstrated happiness in the United States,14664291,Applied Economics Letters,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,5,0,5
2014,The Bertrand solution revisited: strategic price setting,14664291,Applied Economics Letters,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Early career PhD salaries: the industry premium and interdisciplinary debate,14664291,Applied Economics Letters,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,6,0,6
2014,Inference on nonstationary time series with moving mean,14694360,Econometric Theory,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
2014,Estimation of change-points in linear and nonlinear time series models,14694360,Econometric Theory,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,0,2,11,0,11
2014,Nonparametric cointegrating regression with endogeneity and long memory,14694360,Econometric Theory,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,1,2,1,3,1,16,0,16
